assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,saves,season_name,start_cost,starts,tackles,threat,total_points,yellow_cards
1,0,193,4,0,79.7,141,197024,48,0.17,0.39,0.22,20.67,19,0,31.5,205.4,1147,0,0,0,0,0,0,2024/25,50,16,0,29.0,36,6
0,0,30,1,4,6.0,15,197024,48,0.04,0.07,0.03,2.59,2,0,1.7,9.8,175,0,0,0,10,0,0,2025/26,50,2,1,2.0,8,1
