assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,2.3,0,783,0.00,0.05,0.05,0.04,193,0,0,0.6,0.0,2026-01-03T15:00:00Z,19,False,3,0,0,0,0,0,20,0,0,0,0,0,2,6.0,1,0,0,0,55,True,0
0,0,11,0,5,2.0,9,783,0.00,0.09,0.09,2.55,208,1,0,3.1,9.8,2026-01-07T19:30:00Z,90,False,13,0,0,0,3,0,21,0,1072,1,1,1,1,19.0,1,991,1136,145,55,False,1
