assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,saves,season_name,start_cost,starts,tackles,threat,total_points,yellow_cards
0,3,112,0,0,42.7,17,204646,53,0.15,2.30,2.15,4.77,6,3,38.5,138.2,296,0,0,0,0,0,0,2024/25,55,2,0,208.0,34,0
2,3,161,1,2,99.7,16,204646,51,0.35,4.38,4.03,10.59,10,4,56.3,183.4,640,0,0,0,10,0,0,2025/26,55,5,4,290.0,55,0
