assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,saves,season_name,start_cost,starts,tackles,threat,total_points,yellow_cards
1,11,243,5,0,246.5,0,492831,51,1.22,6.77,5.55,35.70,41,5,112.4,372.8,1953,0,0,0,0,0,0,2023/24,55,27,0,509.0,85,2
0,0,10,0,0,5.1,1,492831,48,0.02,0.26,0.24,0.79,0,0,2.6,2.6,69,0,0,0,1,0,0,2025/26,50,0,0,20.0,4,0
