assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,0,785,0.00,0.00,0.00,0.00,200,0,0,0.0,0.0,2026-01-03T15:00:00Z,0,False,20,0,0,0,0,0,20,0,0,0,0,0,3,0.0,0,0,0,0,55,False,0
0,0,3,0,0,12.3,2,785,0.02,0.06,0.04,0.91,210,1,0,1.7,0.4,2026-01-06T20:00:00Z,27,False,16,0,0,0,1,0,21,0,1566,0,1,2,1,4.0,1,1400,1577,177,55,True,0
