assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,saves,season_name,start_cost,starts,tackles,threat,total_points,yellow_cards
0,5,379,9,0,142.8,0,154296,49,0.39,3.32,2.93,56.38,43,3,105.5,570.2,3108,1,0,0,0,0,0,2022/23,50,35,0,338.0,83,14
1,8,387,9,0,219.0,0,154296,50,0.99,4.38,3.39,49.59,46,4,124.5,659.2,2698,0,0,0,0,0,0,2023/24,50,31,0,365.0,91,13
3,17,518,5,100,147.8,302,154296,55,0.65,3.37,2.72,32.60,37,5,108.3,638.0,2192,0,0,0,92,0,0,2025/26,55,23,110,295.0,126,8
