assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,saves,season_name,start_cost,starts,tackles,threat,total_points,yellow_cards
0,0,0,0,0,0.0,0,501837,44,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,2021/22,45,0,0,0.0,0,0
0,0,0,0,0,0.0,0,501837,39,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,2022/23,40,0,0,0.0,0,0
0,0,0,0,0,0.0,0,501837,40,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,2023/24,40,0,0,0.0,0,0
0,0,24,0,0,27.3,45,501837,38,0.03,0.36,0.33,5.63,12,0,16.0,110.2,441,0,0,0,0,0,0,2024/25,40,5,0,21.0,3,2
0,3,209,4,159,140.4,219,501837,43,0.62,3.13,2.51,36.42,40,0,83.5,426.0,2137,2,0,0,93,0,0,2025/26,45,24,60,268.0,61,12
