assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,0,723,0.00,0.00,0.00,0.00,35,0,0,0.0,0.0,2025-09-13T14:00:00Z,0,False,17,0,0,0,0,0,4,0,295,0,0,0,0,0.0,0,115,142,27,45,True,0
0,0,0,0,0,0.0,0,723,0.00,0.00,0.00,0.00,49,0,0,0.0,0.0,2025-09-20T14:00:00Z,0,False,19,0,0,0,0,0,5,0,527,0,0,2,1,0.0,0,59,133,74,45,False,0
0,0,0,0,0,0.0,0,723,0.00,0.00,0.00,0.00,54,0,0,0.0,0.0,2025-09-27T14:00:00Z,0,False,12,0,0,0,0,0,6,0,714,0,0,1,2,0.0,0,30,132,102,45,True,0
0,0,0,0,0,0.0,0,723,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,9,0,0,0,0,0,7,0,918,0,0,1,2,0.0,0,39,153,114,45,False,0
0,0,0,0,0,0.0,0,723,0.00,0.00,0.00,0.00,73,0,0,0.0,0.0,2025-10-18T14:00:00Z,0,False,4,0,0,0,0,0,8,0,1192,0,0,3,3,0.0,0,7,133,126,45,True,0
0,0,0,0,0,0.0,0,723,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,1,0,0,0,0,0,9,0,1274,0,0,0,1,0.0,0,-20,78,98,45,False,0
0,0,3,0,0,0.1,0,723,0.00,0.00,0.00,0.00,93,0,0,0.1,0.4,2025-11-01T15:00:00Z,1,False,5,0,0,0,0,0,10,0,1422,0,0,0,2,0.0,1,13,122,109,45,True,0
0,2,31,1,12,0.8,15,723,0.07,0.12,0.05,0.38,104,0,0,3.9,30.0,2025-11-09T14:00:00Z,90,False,6,0,0,0,4,0,11,0,1522,1,3,0,0,8.0,10,-38,57,95,45,True,0
